Event Count,location,Event duration
279,"{'latitude': 18.8661311, 'longitude': 82.5704321}",456
280,"{'latitude': 18.861841666666667, 'longitude': 82.31896}",342
281,"{'latitude': 18.369851666666666, 'longitude': 82.03567833333334}",369.555
282,"{'latitude': 19.188531666666666, 'longitude': 83.73146}",359.667
283,"{'latitude': 20.924522, 'longitude': 82.812114}",424
284,"{'latitude': 21.1401354, 'longitude': 86.0698394}",564.253
285,"{'latitude': 21.587040000000002, 'longitude': 86.94595666666666}",1007.834
286,"{'latitude': 19.8592449, 'longitude': 82.9361618}",1565.462
287,"{'latitude': 18.8165733, 'longitude': 82.7123821}",627
288,"{'latitude': 18.8661311, 'longitude': 82.5704321}",410.778
289,"{'latitude': 21.0006598, 'longitude': 83.0768484}",1361.548
290,"{'latitude': 22.0642642, 'longitude': 86.6494556}",371
291,"{'latitude': 21.6995405, 'longitude': 87.0598961}",371.664
292,"{'latitude': 21.9403706, 'longitude': 86.5787239}",390.498
293,"{'latitude': 18.4652428, 'longitude': 82.5430958}",353.778
294,"{'latitude': 19.4921569, 'longitude': 83.5021763}",400.11
295,"{'latitude': 21.494338, 'longitude': 83.9859098}",957.918
296,"{'latitude': 20.3211797, 'longitude': 86.5205976}",434
297,"{'latitude': 20.9972224, 'longitude': 85.844529}",305.25
298,"{'latitude': 20.7080892, 'longitude': 83.1322339}",1144.724
299,"{'latitude': 21.0879884, 'longitude': 85.9531849}",615.5
300,"{'latitude': 19.8591677, 'longitude': 82.9317342}",723.269
301,"{'latitude': 19.624201666666668, 'longitude': 83.49291666666667}",580.778
302,"{'latitude': 19.3408695, 'longitude': 82.5144387}",1682.652
303,"{'latitude': 19.3651345, 'longitude': 83.4446853}",401.668
304,"{'latitude': 17.9850137, 'longitude': 81.5801698}",684
305,"{'latitude': 21.6465793, 'longitude': 87.1538117}",393.17
306,"{'latitude': 21.5652744, 'longitude': 87.059498}",347
307,"{'latitude': 22.0734615, 'longitude': 86.6504991}",607
308,"{'latitude': 22.0680944, 'longitude': 86.207252}",347.087
309,"{'latitude': 20.9666812, 'longitude': 85.9140619}",350.337
310,"{'latitude': 20.8076751, 'longitude': 82.5357919}",426.417
311,"{'latitude': 21.3406249, 'longitude': 83.5558381}",2244.736
312,"{'latitude': 21.0948663, 'longitude': 86.579964}",340.419
313,"{'latitude': 19.2499323, 'longitude': 83.4550299}",456
314,"{'latitude': 21.1952689, 'longitude': 83.487908}",412.832
315,"{'latitude': 21.518443333333334, 'longitude': 86.52849666666667}",856.917
316,"{'latitude': 20.8408795, 'longitude': 85.0969283}",967.834
317,"{'latitude': 22.2400756, 'longitude': 84.8770907}",430.498
318,"{'latitude': 20.7081503, 'longitude': 83.1287214}",314.932
319,"{'latitude': 21.850929999999998, 'longitude': 84.7812}",1313.779
320,"{'latitude': 20.294746666666665, 'longitude': 82.75851}",1568.777
321,"{'latitude': 18.0978062, 'longitude': 82.1088374}",317.928
322,"{'latitude': 20.9331801, 'longitude': 85.5351535}",370
323,"{'latitude': 18.8762953, 'longitude': 82.5622709}",383.964
324,"{'latitude': 20.5677295, 'longitude': 85.9505554}",503.917
325,"{'latitude': 19.4676143, 'longitude': 82.5739998}",570
326,"{'latitude': 19.2331155, 'longitude': 82.5467934}",570
327,"{'latitude': 19.051978333333334, 'longitude': 82.26291333333333}",393.111
328,"{'latitude': 21.5209358, 'longitude': 86.1563615}",589.668
329,"{'latitude': 20.392744, 'longitude': 86.332227}",1038
330,"{'latitude': 21.4686103, 'longitude': 83.9744523}",836
331,"{'latitude': 20.8075184, 'longitude': 82.5355499}",423
332,"{'latitude': 22.0734731, 'longitude': 86.6504998}",523.751
333,"{'latitude': 20.2359082, 'longitude': 86.5710638}",354.331
334,"{'latitude': 21.5842381, 'longitude': 83.4144208}",456.5
335,"{'latitude': 21.4615895, 'longitude': 83.5367779}",311.085
336,"{'latitude': 19.8591654, 'longitude': 82.9317548}",548.334
337,"{'latitude': 20.3026819, 'longitude': 86.4108997}",339.419
338,"{'latitude': 22.3826278, 'longitude': 86.0801093}",340.253
339,"{'latitude': 22.2402417, 'longitude': 84.877141}",369.917
340,"{'latitude': 18.1735614, 'longitude': 81.5390067}",513
341,"{'latitude': 19.234128333333334, 'longitude': 82.54744333333333}",672.222
342,"{'latitude': 21.8221561, 'longitude': 83.853925}",304.583
343,"{'latitude': 21.4647, 'longitude': 84.4484317}",1728.502
344,"{'latitude': 21.9387981, 'longitude': 86.7472185}",393.338
345,"{'latitude': 20.6332403, 'longitude': 83.7358329}",598.336
346,"{'latitude': 21.2672226, 'longitude': 83.5498743}",326.5
347,"{'latitude': 20.8962565, 'longitude': 82.5100776}",829.502
348,"{'latitude': 21.0136718, 'longitude': 83.4146271}",374.5
349,"{'latitude': 21.923781666666667, 'longitude': 86.71672}",399.581
350,"{'latitude': 20.4553959, 'longitude': 85.8798843}",1374.724
351,"{'latitude': 21.6512885, 'longitude': 86.8088601}",952.247
352,"{'latitude': 20.8076098, 'longitude': 82.5358056}",1408.502
353,"{'latitude': 19.39127, 'longitude': 82.27109833333333}",324.333
354,"{'latitude': 18.57248166666667, 'longitude': 82.26966666666667}",1565.778
355,"{'latitude': 20.7081119, 'longitude': 83.1321424}",1764.416
356,"{'latitude': 20.4449692, 'longitude': 82.9232645}",599
357,"{'latitude': 22.2461491, 'longitude': 84.88198}",947.668
358,"{'latitude': 22.396898, 'longitude': 86.2032646}",310
359,"{'latitude': 19.4028027, 'longitude': 83.3158118}",456
360,"{'latitude': 18.866265, 'longitude': 82.5705}",570
361,"{'latitude': 21.5051158, 'longitude': 86.9227883}",340
362,"{'latitude': 20.8429271, 'longitude': 83.909473}",3190.17
363,"{'latitude': 20.9209305, 'longitude': 86.0099672}",563.419
364,"{'latitude': 20.6343073, 'longitude': 86.0350083}",514
365,"{'latitude': 22.2029836, 'longitude': 86.3094287}",383.67
366,"{'latitude': 21.7314203, 'longitude': 87.0978802}",631.166
367,"{'latitude': 20.7082031, 'longitude': 83.1321479}",530.667
368,"{'latitude': 21.3389519, 'longitude': 86.7647516}",411
369,"{'latitude': 19.9061753, 'longitude': 83.1617266}",501.813
370,"{'latitude': 20.4214896, 'longitude': 85.7278675}",380.589
371,"{'latitude': 21.9660742, 'longitude': 86.0698371}",317
372,"{'latitude': 21.878465, 'longitude': 86.8610217}",333.587
373,"{'latitude': 21.5301042, 'longitude': 86.4290902}",323.083
374,"{'latitude': 19.530585, 'longitude': 83.4153465}",456
375,"{'latitude': 20.2165614, 'longitude': 86.5152391}",364.169
376,"{'latitude': 22.5236613, 'longitude': 86.0796382}",356.087
377,"{'latitude': 20.6193197, 'longitude': 84.4194454}",391.583
378,"{'latitude': 20.3556173, 'longitude': 82.7847961}",305.413
379,"{'latitude': 19.3433024, 'longitude': 83.5938848}",381.333
380,"{'latitude': 19.859503333333333, 'longitude': 82.931955}",593.556
381,"{'latitude': 20.3599263, 'longitude': 86.1611488}",660.169
382,"{'latitude': 20.7378762, 'longitude': 86.7011606}",796.415
383,"{'latitude': 21.9270429, 'longitude': 85.8353478}",412.502
